,0,buy Signal
2020-08-03,128764420,Buy
2020-08-03,130428932,Buy
2020-08-10,128017156,Buy
2020-08-10,128124932,Buy
2020-08-10,128181764,Buy
2020-08-10,129417476,Buy
2020-08-10,129555460,Buy
2020-08-10,129563908,Buy
2020-08-10,131417348,Buy
2020-08-10,134314756,Buy
2020-08-10,138098692,Buy
2020-08-17,128011012,Buy
2020-08-17,128084740,Buy
2020-08-17,129417476,Buy
2020-08-17,131386372,Buy
2020-08-17,132450564,Buy
2020-08-17,138854148,Buy
2020-08-17,136334084,Buy
2020-08-17,136355332,Buy
2020-08-17,136435972,Buy
2020-08-17,136739588,Buy
2020-08-17,137153284,Buy
2020-08-17,138098692,Buy
2020-08-24,128011012,Buy
2020-08-24,128041732,Buy
2020-08-24,133989892,Buy
2020-08-24,4959233,Buy
2020-08-24,138582020,Buy
2020-08-24,136024068,Dont Buy
2020-08-24,136519172,Buy
2020-08-31,4959233,Buy
2020-09-14,136064004,Buy
2020-09-14,136237572,Dont Buy
2020-09-21,136403716,Buy
2020-10-05,134881540,Buy
2020-10-05,138754820,Buy
2020-10-12,136418308,Buy
2020-10-19,151046148,Buy
2020-10-19,128027652,Buy
2020-10-19,128028164,Buy
2020-10-19,128029700,Buy
2020-10-19,128130564,Buy
2020-10-19,135681796,Buy
2020-10-19,128568068,Buy
2020-10-19,136286980,Buy
2020-10-19,136911108,Buy
2020-10-19,137898500,Buy
2020-10-26,128074244,Buy
2020-10-26,128105220,Buy
2020-10-26,128130564,Buy
2020-10-26,128202244,Buy
2020-10-26,131424004,Buy
2020-10-26,138336260,Buy
2020-10-26,134314756,Buy
2020-10-26,135681796,Buy
2020-10-26,138918916,Buy
2020-10-26,128568068,Buy
2020-10-26,136286980,Buy
2020-10-26,136432388,Buy
2020-10-26,137898500,Buy
2020-11-02,128026628,Buy
2020-11-02,128034052,Buy
2020-11-02,128063748,Buy
2020-11-02,129329156,Buy
2020-11-02,129459204,Buy
2020-11-02,131424004,Buy
2020-11-02,138336260,Buy
2020-11-02,134314756,Buy
2020-11-02,134325508,Buy
2020-11-02,138412292,Buy
2020-11-02,134327044,Buy
2020-11-02,138479364,Buy
2020-11-02,136421892,Buy
2020-11-02,136442372,Buy
2020-11-02,136473092,Buy
2020-11-09,151040772,invalid
2020-11-09,151043332,invalid
2020-11-09,128026628,invalid
2020-11-09,128034052,invalid
2020-11-09,128062212,invalid
2020-11-09,128063748,invalid
2020-11-09,128080388,invalid
2020-11-09,128105732,invalid
2020-11-09,128107524,invalid
2020-11-09,128125444,invalid
2020-11-09,128158724,invalid
2020-11-09,128224004,invalid
2020-11-09,128793604,invalid
2020-11-09,129013764,invalid
2020-11-09,129329156,invalid
2020-11-09,129459204,invalid
2020-11-09,129507844,invalid
2020-11-09,129592836,invalid
2020-11-09,129916932,invalid
2020-11-09,131502852,invalid
2020-11-09,5143553,invalid
2020-11-09,133702404,invalid
2020-11-09,133920516,invalid
2020-11-09,133989124,invalid
2020-11-09,134325508,invalid
2020-11-09,134327044,invalid
2020-11-09,134349828,invalid
2020-11-09,134750980,invalid
2020-11-09,138423300,invalid
2020-11-09,138436868,invalid
2020-11-09,135682820,invalid
2020-11-09,138479364,invalid
2020-11-09,138535172,invalid
2020-11-09,135847684,invalid
2020-11-09,135927044,invalid
2020-11-09,136024068,invalid
2020-11-09,136226308,invalid
2020-11-09,136258308,invalid
2020-11-09,136285700,invalid
2020-11-09,136314372,invalid
2020-11-09,136325636,invalid
2020-11-09,136326148,invalid
2020-11-09,136327428,invalid
2020-11-09,136389636,invalid
2020-11-09,136404996,invalid
2020-11-09,136407812,invalid
2020-11-09,136411908,invalid
2020-11-09,136442372,invalid
2020-11-09,136473092,invalid
2020-11-09,136519172,invalid
2020-11-09,136589572,invalid
2020-11-09,137998340,invalid
2020-11-09,138005252,invalid
2020-11-09,138014212,invalid
2020-11-09,138146820,invalid
2020-11-09,138274052,invalid
2020-11-09,138286084,invalid
2020-11-17,128005124,Buy
2020-11-17,128010244,Buy
2020-11-17,128012292,Buy
2020-11-17,128012548,Buy
2020-11-17,128041732,Buy
2020-11-17,128041988,Buy
2020-11-17,128053764,Buy
2020-11-17,128061700,Buy
2020-11-17,128113668,Buy
2020-11-17,128120836,Buy
2020-11-17,128125444,Buy
2020-11-17,128158724,Buy
2020-11-17,128222724,Buy
2020-11-17,128224004,Buy
2020-11-17,128619524,Buy
2020-11-17,128793604,Buy
2020-11-17,129013764,Buy
2020-11-17,129213700,Buy
2020-11-17,129592836,Buy
2020-11-17,130366212,Buy
2020-11-17,130465540,Buy
2020-11-17,131481348,Buy
2020-11-17,132362500,Buy
2020-11-17,132396548,Buy
2020-11-17,132428804,Buy
2020-11-17,132497668,Buy
2020-11-17,133148932,invalid
2020-11-17,133702404,Buy
2020-11-17,133920516,Buy
2020-11-17,133981956,Buy
2020-11-17,134349828,Buy
2020-11-17,134749956,Buy
2020-11-17,138423300,Buy
2020-11-17,138436868,Buy
2020-11-17,135682820,Buy
2020-11-17,138500868,Buy
2020-11-17,138875908,Buy
2020-11-17,138949892,Buy
2020-11-17,138964484,Buy
2020-11-17,136231684,Buy
2020-11-17,136233476,Buy
2020-11-17,136238340,Buy
2020-11-17,136245508,Buy
2020-11-17,136293124,Buy
2020-11-17,2674433,Buy
2020-11-17,136313604,Buy
2020-11-17,136325636,Buy
2020-11-17,136326148,Buy
2020-11-17,136327428,Buy
2020-11-17,136358916,Buy
2020-11-17,136376068,Buy
2020-11-17,136385796,Buy
2020-11-17,136404996,Buy
2020-11-17,136439300,Buy
2020-11-17,136486660,Buy
2020-11-17,136487940,Buy
2020-11-17,136515076,Buy
2020-11-17,136517380,Buy
2020-11-17,136520196,Buy
2020-11-17,136523012,Buy
2020-11-17,136739588,Buy
2020-11-17,136783108,Buy
2020-11-17,136912900,Buy
2020-11-17,137998340,Buy
2020-11-17,138005252,Buy
2020-11-17,138014212,Buy
2020-11-17,138146820,Buy
2020-11-17,138188548,Buy
2020-11-17,138228996,Buy
2020-11-17,138274052,Buy
2020-11-17,138274820,Buy
2020-11-23,128005124,invalid
2020-11-23,128008196,invalid
2020-11-23,151045380,invalid
2020-11-23,128010244,invalid
2020-11-23,128012292,invalid
2020-11-23,128012548,invalid
2020-11-23,151058692,invalid
2020-11-23,151062020,invalid
2020-11-23,128047364,invalid
2020-11-23,128061700,invalid
2020-11-23,128079876,invalid
2020-11-23,128094212,invalid
2020-11-23,128120836,invalid
2020-11-23,128364804,invalid
2020-11-23,128372484,invalid
2020-11-23,139062276,invalid
2020-11-23,128619524,invalid
2020-11-23,128627204,invalid
2020-11-23,128775940,invalid
2020-11-23,129213700,invalid
2020-11-23,129484804,invalid
2020-11-23,130465540,invalid
2020-11-23,130926340,invalid
2020-11-23,131424516,invalid
2020-11-23,131854084,invalid
2020-11-23,132362500,invalid
2020-11-23,132428804,invalid
2020-11-23,132497668,invalid
2020-11-23,133969668,invalid
2020-11-23,134041092,invalid
2020-11-23,134046212,invalid
2020-11-23,134202884,invalid
2020-11-23,138375684,invalid
2020-11-23,138379268,invalid
2020-11-23,2916865,invalid
2020-11-23,138433284,invalid
2020-11-23,138465028,invalid
2020-11-23,135772932,invalid
2020-11-23,135773956,invalid
2020-11-23,138740740,invalid
2020-11-23,2395137,invalid
2020-11-23,138918148,invalid
2020-11-23,136230148,invalid
2020-11-23,136233476,invalid
2020-11-23,136247812,invalid
2020-11-23,136291332,invalid
2020-11-23,136310020,invalid
2020-11-23,136314116,invalid
2020-11-23,136315652,invalid
2020-11-23,136326404,invalid
2020-11-23,136357892,invalid
2020-11-23,136361220,invalid
2020-11-23,136371716,invalid
2020-11-23,136379396,invalid
2020-11-23,136379652,invalid
2020-11-23,136402436,invalid
2020-11-23,136415236,invalid
2020-11-23,136428036,invalid
2020-11-23,136429572,invalid
2020-11-23,136434436,invalid
2020-11-23,136439556,invalid
2020-11-23,136475140,invalid
2020-11-23,136487940,invalid
2020-11-23,136515076,invalid
2020-11-23,136517636,invalid
2020-11-23,136520196,invalid
2020-11-23,136523012,invalid
2020-11-23,136523524,invalid
2020-11-23,136912900,invalid
2020-11-23,138061316,invalid
2020-11-23,138087428,invalid
2020-11-23,138188548,invalid
2020-11-23,138228996,invalid
2020-12-01,128008196,Buy
2020-12-01,151045380,Buy
2020-12-01,128021508,Buy
2020-12-01,128026372,Buy
2020-12-01,151062020,Buy
2020-12-01,128027140,Buy
2020-12-01,128027908,Buy
2020-12-01,151074308,Buy
2020-12-01,128048900,Buy
2020-12-01,128090884,Buy
2020-12-01,128372484,Buy
2020-12-01,128627204,Buy
2020-12-01,129052676,Buy
2020-12-01,131333892,Buy
2020-12-01,131854084,Buy
2020-12-01,132355844,Buy
2020-12-01,132450564,Buy
2020-12-01,132491268,Buy
2020-12-01,133439492,Buy
2020-12-01,133648388,Buy
2020-12-01,133969668,Buy
2020-12-01,134001924,Buy
2020-12-01,134041092,Buy
2020-12-01,134049284,Buy
2020-12-01,134185988,Buy
2020-12-01,134202884,Buy
2020-12-01,138414084,Buy
2020-12-01,138379268,Buy
2020-12-01,138433284,Buy
2020-12-01,135680260,Buy
2020-12-01,135684868,Buy
2020-12-01,135772932,Buy
2020-12-01,135822084,Buy
2020-12-01,135888132,Buy
2020-12-01,136064004,Buy
2020-12-01,138922244,Buy
2020-12-01,138946564,Buy
2020-12-01,138987268,Buy
2020-12-01,136171780,Buy
2020-12-01,136291332,Buy
2020-12-01,136310020,Buy
2020-12-01,136314116,Buy
2020-12-01,136315652,Buy
2020-12-01,136318212,Buy
2020-12-01,136321284,Buy
2020-12-01,136326404,Buy
2020-12-01,136371716,Buy
2020-12-01,136379396,Buy
2020-12-01,136379652,Buy
2020-12-01,136391428,Buy
2020-12-01,136392452,Buy
2020-12-01,136396804,Buy
2020-12-01,136405764,Buy
2020-12-01,136415236,Buy
2020-12-01,136420356,Buy
2020-12-01,136428036,Buy
2020-12-01,136433924,Buy
2020-12-01,136521220,Buy
2020-12-01,136523524,Buy
2020-12-01,136525572,Buy
2020-12-01,136531460,Buy
2020-12-01,138061316,Buy
2020-12-01,138258692,Buy
2020-12-07,128027908,Buy
2020-12-07,128048900,Buy
2020-12-07,2891009,Buy
2020-12-07,128124932,Buy
2020-12-07,128165124,Buy
2020-12-07,128166404,Buy
2020-12-07,129052676,Buy
2020-12-07,132355844,Buy
2020-12-07,132404740,Buy
2020-12-07,132450564,Buy
2020-12-07,132491268,Buy
2020-12-07,133005316,Buy
2020-12-07,133648388,Buy
2020-12-07,134001924,Buy
2020-12-07,134049284,Buy
2020-12-07,138414084,Buy
2020-12-07,135680260,Buy
2020-12-07,135684868,Buy
2020-12-07,138541828,Buy
2020-12-07,138545924,Buy
2020-12-07,135822084,Buy
2020-12-07,136064004,Buy
2020-12-07,138922244,Buy
2020-12-07,138946564,Buy
2020-12-07,136171780,Buy
2020-12-07,136276740,Buy
2020-12-07,136318212,Buy
2020-12-07,136321284,Buy
2020-12-07,136362756,Buy
2020-12-07,136367876,Buy
2020-12-07,136391428,Buy
2020-12-07,136396804,Buy
2020-12-07,136405764,Dont Buy
2020-12-07,136406788,Buy
2020-12-07,136420356,Buy
2020-12-07,136431876,Buy
2020-12-07,136433924,Buy
2020-12-07,136489476,Buy
2020-12-07,136521220,Buy
2020-12-07,136525572,Buy
2020-12-07,136895492,Buy
2020-12-14,128124932,Buy
2020-12-14,128166404,Dont Buy
2020-12-14,138532612,Dont Buy
2020-12-14,136367876,Buy
2020-12-14,136483332,Buy
2020-12-14,136727300,Buy
2020-12-14,136895492,Buy
2020-12-21,132481540,Buy
2020-12-21,136483332,Buy
2020-12-28,129975556,Buy
2020-12-28,132481540,Buy
2020-12-28,139172868,invalid
2020-12-28,136434436,Buy
2020-12-28,136856836,Buy
2021-01-04,128034564,Buy
2021-01-04,128166404,Buy
2021-01-04,129608964,Buy
2021-01-04,129975556,Buy
2021-01-04,139172868,invalid
2021-01-04,136388612,Buy
2021-01-04,136856836,Buy
2021-01-11,1316353,Buy
2021-02-01,128107524,Buy
2021-02-01,134052356,Buy
2021-02-01,134332164,Dont Buy
2021-02-01,135990532,Buy
2021-02-08,128083204,Buy
2021-02-08,129596164,Buy
2021-02-08,134052356,Buy
2021-02-08,135990532,Buy
2021-02-08,136371716,Buy
2021-02-08,136453892,Buy
2021-02-08,138190596,Buy
2021-02-15,133005316,Buy
2021-02-22,128172548,Buy
2021-02-22,129470468,Buy
2021-02-22,133940996,Buy
2021-02-22,136348164,Buy
2021-03-01,128024580,Buy
2021-03-01,128172548,Buy
2021-03-01,128558084,Buy
2021-03-01,133017604,Buy
2021-03-01,135680260,Buy
2021-03-01,138638340,Buy
2021-03-01,136271108,Buy
2021-03-01,136311300,Buy
2021-03-01,136318212,Buy
2021-03-01,136348164,Buy
2021-03-01,136363524,Buy
2021-03-08,128558084,Buy
2021-03-08,134247428,Buy
2021-03-08,135680260,Buy
2021-03-08,138638340,Buy
2021-03-08,136271108,Buy
2021-03-08,136311300,Buy
2021-03-08,136318212,Buy
2021-03-08,136489476,Buy
2021-03-22,138918404,invalid
2021-03-22,136352516,invalid
2021-03-30,129410308,Buy
2021-03-30,136064004,Dont Buy
2021-03-30,138918404,Buy
2021-03-30,136300548,Buy
2021-03-30,136352516,Buy
2021-03-30,138211588,Buy
2021-04-05,151059972,Buy
2021-04-05,128080388,Dont Buy
2021-04-05,128172548,Buy
2021-04-05,128364804,Buy
2021-04-05,128974340,Buy
2021-04-05,5013761,Buy
2021-04-05,134332164,Buy
2021-04-05,134881540,Buy
2021-04-05,138444036,Buy
2021-04-05,138638596,Buy
2021-04-05,136089348,Buy
2021-04-05,136267780,Buy
2021-04-05,136274180,Buy
2021-04-05,136293124,Buy
2021-04-05,136300548,Buy
2021-04-05,136363524,Buy
2021-04-05,136390916,Buy
2021-04-05,136418308,Buy
2021-04-05,136422148,Buy
2021-04-05,136594692,Buy
2021-04-05,1316353,Buy
2021-04-05,137942020,Dont Buy
2021-04-05,138099204,Buy
2021-04-05,138146820,Buy
2021-04-05,138211588,Buy
2021-04-05,138277124,Buy
2021-04-12,151055876,Buy
2021-04-12,128031748,Buy
2021-04-12,128174084,Buy
2021-04-12,134270468,Buy
2021-04-12,138394116,Buy
2021-04-12,134332164,Buy
2021-04-12,2916865,Buy
2021-04-12,138438660,Buy
2021-04-12,138444036,Buy
2021-04-12,135741188,Buy
2021-04-12,138638596,Buy
2021-04-12,136089348,Buy
2021-04-12,136267780,Buy
2021-04-12,136274180,Buy
2021-04-12,136322052,Buy
2021-04-12,136378628,Buy
2021-04-12,136856836,Buy
2021-04-12,1316353,Buy
2021-04-12,138099204,Buy
2021-04-12,138146820,Buy
2021-04-12,138277124,Buy
2021-04-19,128031748,Buy
2021-04-19,128090884,Buy
2021-04-19,128172036,Buy
2021-04-19,129385476,Buy
2021-04-19,129745924,Buy
2021-04-19,129975556,Buy
2021-04-19,130324228,Buy
2021-04-19,2031617,Buy
2021-04-19,133017604,Buy
2021-04-19,138419460,Buy
2021-04-19,138541828,Buy
2021-04-19,139068164,Buy
2021-04-19,136268804,Buy
2021-04-19,136396804,Buy
2021-04-19,136856836,Buy
2021-04-19,138052612,Buy
2021-04-19,138274052,Buy
2021-04-26,128008708,Buy
2021-04-26,128009988,Buy
2021-04-26,128028164,Buy
2021-04-26,128032004,Buy
2021-04-26,128038404,Buy
2021-04-26,128105476,Buy
2021-04-26,128120068,Buy
2021-04-26,128166404,Buy
2021-04-26,128172036,Buy
2021-04-26,129745924,Buy
2021-04-26,129975556,Buy
2021-04-26,132890884,Buy
2021-04-26,133136900,Buy
2021-04-26,138419460,Buy
2021-04-26,138541828,Buy
2021-04-26,136247044,Buy
2021-04-26,136260612,Buy
2021-04-26,136268804,Buy
2021-04-26,136279812,Buy
2021-04-26,136286980,Buy
2021-04-26,136302084,Buy
2021-04-26,136314372,Buy
2021-04-26,136353284,Buy
2021-04-26,136379652,Buy
2021-04-26,136385540,Buy
2021-04-26,136388612,Buy
2021-04-26,136396292,Buy
2021-04-26,136429572,Buy
2021-04-26,136442116,Buy
2021-04-26,136525572,Buy
2021-04-26,136909828,Buy
2021-04-26,138035460,Buy
2021-04-26,138274052,Buy
2021-05-03,128008708,Buy
2021-05-03,128009988,Buy
2021-05-03,128021508,Buy
2021-05-03,151074308,Buy
2021-05-03,128038404,Buy
2021-05-03,128042244,Buy
2021-05-03,128067844,Buy
2021-05-03,128105476,Buy
2021-05-03,128107524,Buy
2021-05-03,128120068,Buy
2021-05-03,128975620,Buy
2021-05-03,129608964,Buy
2021-05-03,131595012,Buy
2021-05-03,132890884,Buy
2021-05-03,133136900,Buy
2021-05-03,133380100,Buy
2021-05-03,138319620,Buy
2021-05-03,134898436,Buy
2021-05-03,138545924,Buy
2021-05-03,135888132,Buy
2021-05-03,135966724,Buy
2021-05-03,136238340,Buy
2021-05-03,136247044,Buy
2021-05-03,136264964,Buy
2021-05-03,136279812,Buy
2021-05-03,136314372,Buy
2021-05-03,136314628,Buy
2021-05-03,136385540,Buy
2021-05-03,136400388,Buy
2021-05-03,136406788,Buy
2021-05-03,136420356,Buy
2021-05-03,136442116,Buy
2021-05-03,136525316,Buy
2021-05-03,136525572,Buy
2021-05-03,138234372,Buy
2021-05-10,128005124,Buy
2021-05-10,128021764,Buy
2021-05-10,128047364,Buy
2021-05-10,128084484,Buy
2021-05-10,128107524,Buy
2021-05-10,128168964,Buy
2021-05-10,128364804,Buy
2021-05-10,128596484,Buy
2021-05-10,131132676,Buy
2021-05-10,131417348,Buy
2021-05-10,132428804,Buy
2021-05-10,133702404,Buy
2021-05-10,961793,Buy
2021-05-10,134001924,Buy
2021-05-10,134325508,Buy
2021-05-10,138431748,Buy
2021-05-10,138532612,Buy
2021-05-10,135888132,Buy
2021-05-10,135927044,Buy
2021-05-10,135966724,Buy
2021-05-10,138869764,Buy
2021-05-10,128568068,Buy
2021-05-10,136226308,Buy
2021-05-10,136237572,Buy
2021-05-10,136245508,Buy
2021-05-10,136247812,Buy
2021-05-10,136300548,Buy
2021-05-10,136385796,Buy
2021-05-10,136406788,Buy
2021-05-10,136433924,Buy
2021-05-10,136479236,Buy
2021-05-10,136500740,Buy
2021-05-10,136519172,Buy
2021-05-10,136531460,Buy
2021-05-17,128005124,Buy
2021-05-17,128011012,Buy
2021-05-17,128021764,Buy
2021-05-17,128029188,Buy
2021-05-17,128034052,Buy
2021-05-17,128036868,Buy
2021-05-17,128047364,Buy
2021-05-17,128056068,Buy
2021-05-17,128130564,Buy
2021-05-17,128133124,Buy
2021-05-17,128135684,Buy
2021-05-17,128212484,Buy
2021-05-17,128215044,Buy
2021-05-17,128217604,Buy
2021-05-17,129282564,Buy
2021-05-17,129462788,Buy
2021-05-17,129637124,Buy
2021-05-17,130017284,Buy
2021-05-17,130366212,Buy
2021-05-17,130426884,Buy
2021-05-17,130527748,Buy
2021-05-17,131417348,Buy
2021-05-17,132491268,Buy
2021-05-17,133134596,Buy
2021-05-17,4524801,Buy
2021-05-17,133439492,Buy
2021-05-17,133648388,Buy
2021-05-17,133920516,Buy
2021-05-17,138375684,Buy
2021-05-17,138412292,Buy
2021-05-17,138431748,Buy
2021-05-17,138465028,Buy
2021-05-17,138532612,Buy
2021-05-17,138537732,Buy
2021-05-17,138643972,Buy
2021-05-17,138869764,Buy
2021-05-17,128568068,Buy
2021-05-17,136226308,Buy
2021-05-17,136245508,Buy
2021-05-17,136291844,Buy
2021-05-17,136300548,Buy
2021-05-17,2674433,Buy
2021-05-17,136318212,Buy
2021-05-17,136366852,Buy
2021-05-17,136385796,Buy
2021-05-17,136420100,Buy
2021-05-17,136429828,Buy
2021-05-17,136439300,Buy
2021-05-17,136485380,Buy
2021-05-17,136486660,Buy
2021-05-17,136515332,Buy
2021-05-17,136517636,Buy
2021-05-17,136526340,Buy
2021-05-17,136531460,Buy
2021-05-17,136549892,Buy
2021-05-17,136589316,Buy
2021-05-17,136727300,Buy
2021-05-17,139071492,Buy
2021-05-17,137161988,Buy
2021-05-17,137998340,Buy
2021-05-17,138061060,Buy
2021-05-17,138125060,Buy
2021-05-17,138258692,Buy
2021-05-17,138269444,Buy
2021-05-17,138279172,Buy
2021-05-17,138284292,Buy
2021-05-24,128011012,Buy
2021-05-24,128022020,Buy
2021-05-24,128029188,Buy
2021-05-24,128043012,Buy
2021-05-24,128064004,Buy
2021-05-24,128068100,Buy
2021-05-24,128072964,Buy
2021-05-24,128133124,Buy
2021-05-24,128135684,Buy
2021-05-24,128181764,Buy
2021-05-24,128215044,Buy
2021-05-24,128224516,Buy
2021-05-24,128793604,Buy
2021-05-24,129331204,Buy
2021-05-24,129370884,Buy
2021-05-24,129416452,Buy
2021-05-24,129417476,Buy
2021-05-24,129462788,Buy
2021-05-24,130000644,Buy
2021-05-24,130017284,Buy
2021-05-24,130366212,Buy
2021-05-24,133940996,Buy
2021-05-24,133991684,Buy
2021-05-24,134862596,Buy
2021-05-24,138465028,Buy
2021-05-24,138537732,Buy
2021-05-24,138682628,Buy
2021-05-24,135874308,Buy
2021-05-24,136004100,Buy
2021-05-24,138854148,Buy
2021-05-24,136271108,Buy
2021-05-24,136374788,Buy
2021-05-24,136387076,Buy
2021-05-24,136409092,Buy
2021-05-24,136414212,Buy
2021-05-24,136429828,Buy
2021-05-24,136439300,Buy
2021-05-24,136515332,Buy
2021-05-24,136517636,Buy
2021-05-24,136526340,Buy
2021-05-24,139071492,Buy
2021-05-24,136911108,Buy
2021-05-24,137161988,Buy
2021-05-24,137796612,Buy
2021-05-24,137998340,Buy
2021-05-24,138061060,Buy
2021-05-24,138208260,Buy
2021-05-24,138258692,Buy
2021-05-24,138279172,Buy
2021-05-31,128022020,Buy
2021-05-31,128042244,Buy
2021-05-31,129417476,Buy
2021-05-31,130000644,Buy
2021-05-31,130513924,Buy
2021-05-31,130551300,Buy
2021-05-31,133940996,Buy
2021-05-31,133991684,Buy
2021-05-31,138682628,Buy
2021-05-31,138693124,Buy
2021-05-31,135874308,Buy
2021-05-31,136271108,Buy
2021-05-31,136414212,Buy
2021-05-31,136428036,Buy
2021-05-31,136474628,Buy
2021-05-31,136486404,Buy
2021-05-31,136516356,Buy
2021-05-31,136518148,Buy
2021-05-31,136580868,Buy
2021-06-07,128123652,Buy
2021-06-07,128211204,Buy
2021-06-07,128793860,Buy
2021-06-07,129329156,Buy
2021-06-07,129465860,Buy
2021-06-07,130551300,Buy
2021-06-07,138379268,Buy
2021-06-07,558849,Buy
2021-06-07,138983428,Buy
2021-06-07,842753,Buy
2021-06-07,136402436,Buy
2021-06-07,136517380,Buy
2021-06-07,136518148,Buy
2021-06-07,136580868,Buy
2021-06-07,139069956,Buy
2021-06-14,136390916,Buy
2021-06-14,136402436,Buy
2021-06-14,136517380,Buy
2021-06-28,128064516,Buy
2021-06-28,134004996,Buy
2021-06-28,2395137,Buy
2021-06-28,138946564,Buy
2021-07-05,128064516,Buy
2021-07-05,134004996,Buy
2021-07-05,138396420,Buy
2021-07-05,2395137,Buy
2021-07-05,138946564,Buy
2021-07-05,136315396,Buy
2021-07-05,138252036,Buy
2021-07-12,128017156,Buy
2021-07-12,128172548,Buy
2021-07-12,128224772,Buy
2021-07-12,132396548,Buy
2021-07-12,138396420,Buy
2021-07-12,138416900,Buy
2021-07-12,136402436,Dont Buy
2021-07-12,136437764,Buy
2021-07-19,134041092,Buy
2021-07-19,136422404,Buy
2021-07-19,136437764,Buy
2021-07-26,139024388,Buy
2021-07-26,136231940,Buy
2021-08-02,128046084,Buy
2021-08-02,128063236,Buy
2021-08-02,128211204,Buy
2021-08-02,138435076,Buy
2021-08-09,128046084,Buy
2021-08-09,128063236,Buy
2021-08-09,128126724,Buy
2021-08-09,128178180,Buy
2021-08-09,128211204,Buy
2021-08-09,136231684,Buy
2021-08-16,128133124,Buy
2021-08-23,128007940,Buy
2021-08-23,128117508,Buy
2021-08-23,129703684,Buy
2021-08-23,138423300,Buy
2021-08-23,138436868,Buy
2021-08-23,136367108,Buy
2021-08-23,139074052,Buy
2021-08-30,151058180,Buy
2021-08-30,128022020,Buy
2021-08-30,128048132,Buy
2021-08-30,128060932,Buy
2021-08-30,128063236,Buy
2021-08-30,128099076,Buy
2021-08-30,128117508,Buy
2021-08-30,128147204,Buy
2021-08-30,129465860,Buy
2021-08-30,130542084,Buy
2021-08-30,132896260,Buy
2021-08-30,138418948,Buy
2021-08-30,138438916,Buy
2021-08-30,138436868,Buy
